Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
171.52617445000007,1584.615384615385,,,,0.0012109375,-0.0208984375,-1.0028515625,0.00759087369220103,-0.3529421816076389,16.2854059193648,0.7517676491737071,8426,0,12.242831188416966,6.698404684557087,54.71937736124596,0.05282053630582876,0.028839241685280233,0.27029296875,,
178.35131635000002,1600,,,,0.00552734375,-0.01140625,-0.99666015625,0.010143994711792765,-0.4834904221122832,16.256283094537352,1.1045473890891495,9876,0,17.95583693148182,10.491444080944987,58.437740193502705,0.04608820582867725,0.02693269898737022,0.22232421875,,
185.17639125000005,1615.3846153846152,,,,0.00916015625,-0.02623046875,-1.00298828125,0.012913646555962516,-0.6457172766814175,16.21834487876086,1.5778300074166887,11316,0,25.589772004234636,15.30268091601795,59.80708630978891,0.042203881289978644,0.025237965188995015,0.37318359375,,
192.0020549,1630.7692307692307,,,,0.000234375,-0.0277734375,-1.01171875,0.015739548303604137,-0.8146134777339594,16.174993815137487,2.1357339612024617,12654,0,34.54545746320441,20.85703625499018,60.379740476798275,0.03906960818447274,0.023584603140685154,0.2229296875,,
198.82727729999996,1646.1538461538446,,,,0.003515625,-0.0244140625,-1.00052734375,0.01827669340063266,-0.9621043416886088,16.1285549817758,2.6947896682931667,13847,0,43.46305824274434,26.502496958656128,60.97763544588982,0.03631499791843927,0.02213649065554611,0.293359375,,
205.65314675000002,1661.5384615384653,,,,0.00833984375,-0.01103515625,-1.00095703125,0.021530290361397326,-1.145547497687982,16.06901957701663,3.4335418412312038,15120,0,55.1736290797379,34.09093985225067,61.79066351265894,0.033612410527661535,0.020763412015687703,0.3001953125,,
212.47762365000008,1676.9230769230749,,,,0.0073046875,-0.03287109375,-1.008046875,0.0246418769248677,-1.308890106734843,16.007600803962845,4.1581372059648745,16158,0,66.56177703789257,41.69627943050439,62.64419307050401,0.03140073150406061,0.019664824077737036,0.35890625,,
219.30287850000008,1692.30769230769,,,,0.00029296875,-0.02119140625,-1.00140625,0.028019529231039734,-1.4977879133708953,15.93488301927912,5.011082093107269,17278,0,79.85084902250507,50.69663138520022,63.49127758521955,0.029553325867767835,0.018758826406499948,0.39869140625,,
226.12813000000008,1707.69230769231,,,,0.003359375,-0.0092578125,-0.99908203125,0.031480978090175686,-1.6901782802225414,15.848128297634933,5.993555208983452,18440,0,94.98659630500708,60.79208859272916,64.00110359107963,0.02780313804123413,0.01779417765101117,0.93947265625,,
232.95349039999996,1723.0769230769254,,,,0.00775390625,-0.00720703125,-0.99060546875,0.03432494808969635,-1.8746875726687862,15.760948384690485,6.994318904379496,19364,0,110.23708497658261,69.60640242908298,63.14310058309336,0.02695186318637779,0.01700618109064943,0.46150390625,,
239.77868780000009,1738.4615384615345,,,,0.00931640625,-0.02447265625,-1.0033203125,0.03750343389835416,-2.081485336716379,15.655623996541735,8.134540461142723,20436,0,127.35113234171453,80.25955493121421,63.02364197134862,0.025940204062901723,0.016345214178744173,0.53341796875,,
246.60366489999996,1753.8461538461554,,,,-0.0000390625,-0.0257421875,-1.00841796875,0.04107316043337231,-2.3026919159292984,15.523454163063823,9.483388661431931,21522,0,147.21483421233978,92.56539997605263,62.87800213691431,0.024883644038970233,0.015642314715928224,0.52951171875,,
253.43139415000007,1769.2307692307702,,,,0.0123046875,-0.0144921875,-1.00412109375,0.0447560454681382,-2.5101150443751954,15.377218606124297,10.891220925304985,22566,0,167.4764037136768,105.76379681492998,63.15254746554926,0.02373780283270762,0.014988439911131284,0.7402734375,,
